EG	GN	GI	Type	Len	Ori	LeftEnd	RightEnd	Syn	MN	Description	
EG10046	ansB	g1789327	aa	348	Counterclockwise	3097704	3098750	Null	Asparaginase	L-Asparaginase II
EG10047	apaG	g1786235	aa	125	Counterclockwise	51229	51606	corD(S.t.);temP	Adenine-tetraPhosphate-adenine	Expressed as part of complex ksgA operon, function unknown; Salmonella ortholog involved in Co2+ and Mg2+ efflux; upstream of apaH
EG10048	apaH	g1786234	aa	280	Counterclockwise	50380	51222	cfcB	Adenine-tetraPhosphate-adenine	Dinucleoside tetraphosphatase, symmetrical; diadenosine tetraphosphatase; bis(5'-nucleosyl)-tetraphosphatase, symmetrical
EG10049	appA	g1787215	aa	432	Clockwise	1039840	1041138	Null	Acid (poly)phosphatase	Acid phosphatase, pH 2.5, exopolyphosphatase; phytase
EG10050	appY	g1786776	aa	249	Clockwise	582904	583653	Null	Acid (poly)phosphatase	Global transcription regulator, AraC family, DLP12 prophage
EG10051	apt	g1786675	aa	183	Clockwise	490636	491187	Null	Adenosine phosphoribosyl transferase	Adenine phosphoribosyltransferase; adenine salvage, AMP from PRPP + Ade
EG10052	araA	g1786248	aa	500	Counterclockwise	66835	68337	Null	Arabinose	L-Arabinose isomerase; first step in arabinose catabolism; converts L-arabinose to L-ribulose
EG10053	araB	g1786249	aa	566	Counterclockwise	68348	70048	Null	Arabinose	Ribulokinase
EG10054	araC	g1786251	aa	292	Clockwise	70387	71265	Null	Arabinose	Transcriptional activator for the ara regulon; autorepressor in the absence of arabinose co-activator
EG10055	araD	g1786247	aa	231	Counterclockwise	65855	66550	Null	Arabinose	L-ribulose-5-phosphate 4-epimerase
EG10056	araE	g1789207	aa	472	Counterclockwise	2978786	2980204	Null	Arabinose	Low-affinity L-arabinose transport; L-arabinose proton symport
EG10057	araF	g1788211	aa	329	Counterclockwise	1983163	1984152	Null	Arabinose	L-Arabinose-binding protein
EG10058	araG	g1788210	aa	504	Counterclockwise	1981579	1983093	Null	Arabinose	High-affinity L-arabinose transport
EG10059	araH	g48994893	aa	328	Counterclockwise	1980578	1981564	Null	Arabinose	High-affinity L-arabinose transport, membrane protein
EG10060	araJ	g1786595	aa	394	Counterclockwise	410521	411705	Null	Arabinose	Function unknown, arabinose inducible; not involved in arabinose uptake or utilization; possible arabinose exporter
EG10061	arcA	g1790863	aa	238	Counterclockwise	4637613	4638329	cpxC;dye;fexA;msp;seg;sfrA	Aerobic respiration control	Response regulator, represses aerobic genes during anaerobic growth; also activates some anaerobic genes; phosphorylated by two-component sensor kinase ArcB; RpoS represssor
EG10062	arcB	g48994928	aa	778	Counterclockwise	3348711	3351047	Null	Aerobic respiration control	Aerobic respiration control sensor histidine protein kinase; phosphorylates response regulator proteins ArcA and RssB
EG10063	argA	g1789181	aa	443	Clockwise	2947264	2948595	Arg1;Arg2;argB	Arginine	N-acetylglutamate synthase; first step in arginine biosynthesis; amino-acid acetyltransferase; L-glutamate N-acetyltransferase; growth on acetylornithine; feedback inhibited by L-arginine
EG10064	argB	g87082353	aa	258	Clockwise	4154036	4154812	Null	Arginine	N-acetylglutamate kinase
EG10065	argC	g1790396	aa	334	Clockwise	4153024	4154028	Arg2;argH	Arginine	N-acetyl-gamma-glutamyl-phosphate reductase
EG10066	argD	g1789759	aa	406	Counterclockwise	3486982	3488202	Arg1;argG;dapC;dtu	Arginine	Acetylornithine aminotransferase; succinyldiaminopimelate aminotransferase, PLP-dependent
EG10067	argF	g1786469	aa	334	Counterclockwise	288525	289529	Arg5;argD	Arginine	Ornithine carbamoyltransferase; ornithine transcarbamylase; OTCase; CP4-6 putative prophage remnant
EG10068	argG	g1789563	aa	447	Clockwise	3316659	3318002	Arg6;argE	Arginine	Argininosuccinate synthase
EG10069	argI	g1790703	aa	334	Counterclockwise	4475330	4476334	Null	Arginine	Ornithine carbamoyltransferase; ornithine transcarbamylase; OTCase
EG10070	argR	g1789633	aa	156	Clockwise	3382725	3383195	Rarg;xerA	Arginine	Repressor of Arg regulon; cer-mediated site-specific recombination in plasmid ColE1; hexameric
EG10071	argS	g1788184	aa	577	Clockwise	1958086	1959819	lov	Arginine	Arginine--tRNA ligase
EG10072	argT	g1788649	aa	260	Counterclockwise	2425031	2425813	Null	Arginine	Periplasmic Lys-, Arg-, and Orn-binding protein
EG10073	aroA	g1787137	aa	427	Clockwise	958035	959318	Null	Aromatic	5-enolpyruvyl shikimate-3-phosphate synthase; ESPS synthase; 3-phosphoshikimate-1-carboxyvinyltransferase
EG10074	aroB	g1789791	aa	362	Counterclockwise	3515420	3516508	Null	Aromatic	3-Dehydroquinate synthase
EG10075	aroC	g1788669	aa	361	Counterclockwise	2444410	2445495	Null	Aromatic	Chorismate synthase
EG10076	aroD	g1787984	aa	252	Clockwise	1772710	1773468	Null	Aromatic	3-Dehydroquinate dehydratase
EG10077	aroE	g1789675	aa	272	Counterclockwise	3428042	3428860	Null	Aromatic	Shikimate 5-dehydrogenase
EG10078	aroF	g1788953	aa	356	Counterclockwise	2738102	2739172	Null	Aromatic	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase; tyrosine repressible; TyrR regulon
EG10079	aroG	g1786969	aa	350	Clockwise	784856	785908	Null	Aromatic	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; phenylalanine repressible; TyrR regulon
EG10080	aroH	g1787996	aa	348	Clockwise	1786459	1787505	Null	Aromatic	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; tryptophan repressible
EG10081	aroK	g87082255	aa	173	Counterclockwise	3516565	3517086	Null	Aromatic	Shikimate kinase I; alkali-inducible
EG10082	aroL	g1786587	aa	174	Clockwise	405629	406153	Null	Aromatic	Shikimate kinase II
EG10083	aroM	g1786589	aa	225	Clockwise	406652	407329	Null	Aromatic	Regulated by aroR, function unknown
EG10084	aroP	g1786302	aa	457	Counterclockwise	120178	121551	Null	Aromatic	General aromatic amino acid transport
EG10085	ascB	g1789070	aa	474	Clockwise	2839012	2840436	sac	Arbutin, salicin, cellobiose	Cryptic phospho-beta-glucosidase; expressed when AscG is mutated
EG10086	ascF	g48994906	aa	485	Clockwise	2837546	2839003	sac	Arbutin, salicin, cellobiose	PTS system EIIBC enzyme, beta-glucoside phosphotransferase; paralogous to bglF; cryptic unless AscG is mutated
EG10087	ascG	g1789068	aa	337	Counterclockwise	2836276	2837289	sac	Arbutin, salicin, cellobiose	Repressor of cryptic asc operon
EG10088	asd	g1789841	aa	367	Counterclockwise	3571798	3572901	dap;hom	Aspartate semialdehyde deHase	Aspartate semialdehyde dehydrogenase
EG10089	aslA	g1790233	aa	551	Counterclockwise	3982375	3984030	atsA;gppB	Arylsulfatase-like	Suppresses gpp mutants; putative arylsulfatase
EG10090	aslB	g48994973	aa	411	Clockwise	3980981	3982216	atsB;gppB	Arylsulfatase-like	Suppresses gpp mutants, putative arylsulfatase
EG10091	asnA	g1790183	aa	330	Clockwise	3925178	3926170	Null	Asparagine	Asparagine synthase A; aspartate-ammonia ligase
EG10092	asnB	g1786889	aa	554	Counterclockwise	696736	698400	Null	Asparagine	Asparagine synthase B [glutamine-hydrolyzing]
EG10093	asnC	g1790182	aa	152	Counterclockwise	3924568	3925026	Null	Asparagine	Regulatory gene for asnA, asnC, gidA, Lrp family
EG10094	asnS	g1787161	aa	466	Counterclockwise	986808	988208	lcs;tss	Asparagine	Asparagine--tRNA ligase
EG10095	aspA	g87082375	aa	478	Counterclockwise	4364914	4366350	Null	Aspartate	L-Aspartate ammonia-lyase; L-aspartase
EG10096	aspC	g1787159	aa	396	Counterclockwise	983742	984932	Null	Aspartate	Aspartate aminotransferase, AspAT; kynurenine aminotransferase; glutamine transaminase K
EG10097	aspS	g1788173	aa	590	Counterclockwise	1946774	1948546	tls	Aspartate	Aspartate--tRNA ligase
EG10098	atpA	g1790172	aa	513	Counterclockwise	3916339	3917880	papA;uncA	ATP	ATP synthase subunit alpha, membrane-bound, F1 sector
EG10099	atpB	g1790176	aa	271	Counterclockwise	3919259	3920074	papD;uncB	ATP	ATP synthase subunit a, membrane-bound, F0 sector
EG10100	atpC	g1790169	aa	139	Counterclockwise	3913576	3913995	papG;uncC	ATP	ATP synthase subunit epsilon, membrane-bound, F1 sector
EG10101	atpD	g1790170	aa	460	Counterclockwise	3914016	3915398	papB;uncD	ATP	ATP synthase subunit beta, membrane-bound, F1 sector
EG10102	atpE	g1790175	aa	79	Counterclockwise	3918973	3919212	papH;uncE	ATP	ATP synthase subunit c, membrane-bound, F0 sector; DCCD-binding
EG10103	atpF	g1790174	aa	156	Counterclockwise	3918441	3918911	papF;uncF	ATP	ATP synthase subunit b, membrane-bound, F0 sector
EG10104	atpG	g1790171	aa	287	Counterclockwise	3915425	3916288	papC;uncG	ATP	ATP synthase subunit gamma, membrane-bound, F1 sector
EG10105	atpH	g1790173	aa	177	Counterclockwise	3917893	3918426	papE;uncH	ATP	ATP synthase subunit delta, membrane-bound, F1 sector
EG10106	atpI	g87082325	aa	126	Counterclockwise	3920083	3920463	uncI	ATP	ATP synthase subunit, F1-F0-type proton-ATPase; membrane-bound
EG10107	avtA	g48994949	aa	417	Clockwise	3737728	3738981	Null	Alanine-isoketovalerate transaminase	Alanine-alpha-ketoisovalerate transaminase, transaminase C
EG10108	bcp	g1788825	aa	156	Clockwise	2598500	2598970	Null	Bacterioferritin comigratory protein	Thioredoxin-dependent thiol peroxidase; peroxide hypersensitivity
EG10109	betA	g1786503	aa	556	Counterclockwise	324801	326471	Null	Betaine	Choline dehydrogenase, oxygen-dependent; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline
EG10110	betB	g1786504	aa	490	Counterclockwise	326485	327957	Null	Betaine	Betaine aldehyde dehydrogenase, NAD-dependent; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline; tetrameric
EG10111	betI	g1786505	aa	195	Counterclockwise	327971	328558	Null	Betaine	Repressor for the betIBA betT divergon, choline-sensing; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline
EG10112	betT	g1786506	aa	677	Clockwise	328687	330720	Null	Betaine	High-affinity choline transporter; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline
EG10113	bfr	g1789733	aa	158	Counterclockwise	3464271	3464747	Null	Bacterioferritin	Bacterioferritin; negatively regulated by ryhB RNA as part of indirect positive regulation by Fur; 24-mer
EG10114	bglB	g2367270	aa	470	Counterclockwise	3900312	3901724	Null	beta-Glucoside	Phospho-beta-glucosidase B; allows growth on arbutin or salicin when activated
EG10115	bglF	g1790159	aa	625	Counterclockwise	3901743	3903620	bglC;bglS	beta-Glucoside	PTS system EIIABC enzyme, beta-glucoside phosphotransferase; BglG kinase/dephosphorylase; membrane-bound protein; binds BglG
EG10116	bglG	g1790160	aa	278	Counterclockwise	3903754	3904590	bglC;bglR;bglS	beta-Glucoside	Transcription anti-terminator for cryptic bglGFBH operon; RNA-binding protein; dimerization and activity modulated by phosphorylation state; binds BglF, its kinase/dephosphorylase
EG10117	bioA	g1786991	aa	429	Counterclockwise	807191	808480	Null	Biotin	7,8-diaminopelargonic acid aminotransferase
EG10118	bioB	g1786992	aa	346	Clockwise	808567	809607	Null	Biotin	Biotin synthase; dethiobiotin to biotin pathway; iron-sulfur enzyme
EG10119	bioC	g1786994	aa	251	Clockwise	810745	811500	Null	Biotin	Biotin synthesis blocked prior to pimeloyl CoA formation; putative SAM-dependent methyltransferase
EG10120	bioD	g1786995	aa	225	Clockwise	811493	812170	Null	Biotin	Dethiobiotin synthase
EG10121	bioF	g1786993	aa	384	Clockwise	809604	810758	Null	Biotin	7-keto-8-amino pelargonic acid synthase
EG10122	bioH	g1789817	aa	256	Counterclockwise	3542096	3542866	bioB	Biotin	Short acyl chain carboxylesterase, biotin synthesis; binds CoA; blocked prior to pimeloyl CoA formation
EG10123	birA	g1790408	aa	321	Clockwise	4171105	4172070	bioR;dhbB	Biotin retention	Bifunctional biotin protein ligase, biotin operon repressor; biotin-[acetyl-CoA carboxylase] holoenzyme synthase; monomeric
EG10124	bisC	g87082288	aa	777	Counterclockwise	3712084	3714417	Null	Biotin sulfoxide	Biotin sulfoxide and methionine (S) sulfoxide reductase; cytoplasmic
EG10125	bolA	g87081740	aa	105	Clockwise	453696	454013	Null	Bolus	Stationary-phase morphogene, transcriptional repressor for mreB; predicted reductase; also regulates dacA, dacC, and ampC transcription; shape determinant; FtsZ dependent; induced by AI-2 pheromone
EG10126	btuB	g1790405	aa	614	Clockwise	4161662	4163506	bfe;cer;dcrC	B12 uptake	B12 uptake, outer membrane receptor; receptor for E colicins, phages BF23 and C1
EG10127	btuC	g1788004	aa	326	Counterclockwise	1792196	1793176	Null	B12 uptake	B12 uptake, ABC transporter permease
EG10128	btuD	g1788002	aa	249	Counterclockwise	1790833	1791582	Null	B12 uptake	B12 uptake, ABC transporter ATPase
EG10129	btuE	g1788003	aa	183	Counterclockwise	1791582	1792133	Null	B12 uptake	Non-essential for vitamin B12 transport
EG10130	btuR	g1787525	aa	196	Counterclockwise	1325791	1326381	cobA(S.t.)	B12 uptake	Regulatory gene affecting btuB
EG10131	cadA	g1790573	aa	715	Counterclockwise	4354493	4356640	Null	Cadaverine	Lysine decarboxylase, acid-inducible; decameric
EG10132	cadB	g1790575	aa	444	Counterclockwise	4356720	4358054	Null	Cadaverine	Lysine-cadaverine antiporter
EG10133	cadC	g1790576	aa	512	Counterclockwise	4358419	4359957	Null	Cadaverine	Transcriptional activator for cadBA, low external pH-, low oxygen-, excess lysine-responsive; homodimeric
EG10134	carA	g1786215	aa	382	Clockwise	29651	30799	arg;cap;pyrA	Carbamoyl P	Carbamoyl phosphate synthase, small subunit; glutamine-hydrolyzing, tetramer of heterodimers
EG10135	carB	g1786216	aa	1073	Clockwise	30817	34038	cap;pyrA	Carbamoyl P	Carbamoyl phosphate synthase, ammonia, large subunit; tetramer of heterodimers
EG10136	cca	g1789436	aa	412	Clockwise	3199913	3201151	Null	CCA tRNA terminus	tRNA nucleotidyltransferase, repairs terminal CCA of tRNAs
EG10137	cdd	g1788465	aa	294	Clockwise	2229866	2230750	Null	CytiDine Deaminase	Cytidine deaminase; 2-deoxycytidine deaminase; mutants are 5-fluorodeoxycytidine resistant; binds Zn(II)
EG10138	cdh	g1790352	aa	251	Clockwise	4107953	4108708	pnuE(S.t.);ushB(S.t.)	CDP diglyceride hydrolase	CDP-diglyceride hydrolase; Salmonella ortholog has both UDP sugar hydrolase (UshB) and NAD pyrophosphatase (PnuE) activities
EG10139	cdsA	g87081696	aa	285	Clockwise	195677	196534	Null	CDP diglyceride synthase	CDP-diglyceride synthase, integral membrane protein with eight transmembrane helices; also known as phosphatidate cytidylyltransferase
EG10140	chbB	g1788034	aa	106	Counterclockwise	1819323	1819643	celA	Chitobiose	N,N'-diacetylchitobiose utilization, enzyme IIB(Chb) of the PTS transport system
EG10141	chbC	g1788032	aa	452	Counterclockwise	1817880	1819238	celB	Chitobiose	PTS Enzyme IIC(Chb) for N,N'-diacetylchitobiose utilization
EG10142	chbA	g1788031	aa	116	Counterclockwise	1817479	1817829	celC	Chitobiose	PTS Enzyme IIA(Chb), N,N'-diacetylchitobiose utilization; trimeric
EG10143	chbR	g1788030	aa	280	Counterclockwise	1816629	1817471	celD	Chitobiose	Repressor, chb operon for N,N'-diacetylchitobiose utilization; AraC family 
EG10144	chbF	g1788029	aa	450	Counterclockwise	1815172	1816524	celF;ydjD	Chitobiose	N,N'-diacetylchitobiose utilization, phospho-chitobiase; can hydrolyze a variety of phospho-beta-glucosides
EG10145	creD	g1790862	aa	450	Clockwise	4636201	4637553	cet;refII	Catabolite regulation	Inner membrane protein, function unknown
EG10146	cheA	g1788197	aa	654	Counterclockwise	1971384	1973348	Null	Chemotaxis	Histidine protein kinase sensor of chemotactic response; CheY is cognate response regulator; autophosphorylating; CheAS is a short form produced by an internal start at codon 98
EG10147	cheB	g1788192	aa	349	Counterclockwise	1965476	1966525	Null	Chemotaxis	Chemotaxis MCP protein-glutamate methylesterase; reverses CheR methylation at specific MCP glutamates
EG10148	cheR	g1788193	aa	286	Counterclockwise	1966528	1967388	cheX	Chemotaxis	Chemotaxis MCP protein methyltransferase, SAM-dependent; binds C-terminus of chemoreceptors; makes glutamate methyl esters
EG10149	cheW	g1788196	aa	167	Counterclockwise	1970860	1971363	Null	Chemotaxis	Chemotaxis signal transducer; bridges CheA to chemoreceptors to regulate phophotransfer to CheY and CheB
EG10150	cheY	g1788191	aa	129	Counterclockwise	1965072	1965461	Null	Chemotaxis	Response regulator for chemotactic signal transduction; single-domain response regulator lacking an output domain; CheA is the cognate sensor protein; autoacetylase
EG10151	cheZ	g1788190	aa	214	Counterclockwise	1964417	1965061	Null	Chemotaxis	CheY-P phosphatase
EG10152	modC	g1786981	aa	352	Clockwise	795777	796835	chlD;narD	Molybdenum	Molybdate uptake; chlorate resistance
EG10153	moeA	g1787049	aa	411	Counterclockwise	864352	865587	bisB;chlE;narE	Molybdenum	Molybdopterin (MPT) synthesis; incorporation of molybdenum into MPT; chlorate resistance
EG10154	moeB	g1787048	aa	249	Counterclockwise	863603	864352	chlN	Molybdenum	Molybdopterin-synthase sulfurylase; probable adenylation/thiocarboxylation of MoaD C-terminus; chlorate resistance; zinc-containing enyzyme
EG10155	cirA	g1788478	aa	663	Counterclockwise	2242800	2244791	cir;feuA	Colicin I resistance/receptor	Colicin I outer membrane receptor and translocator; ferric iron-catecholate transporter
EG10156	clpA	g1787109	aa	758	Clockwise	922487	924763	lopD	Caseinolytic protease	ATPase subunit of ClpAP ATP-dependent protease; protease Ti; molecular chaperone
EG10157	clpB	g1788943	aa	857	Counterclockwise	2729622	2732195	htpM	Caseinolytic protease	Bichaperone with DnaK for protein disaggregation; protein-dependent ATPase; role in de novo protein folding under mild stress conditions
EG10158	clpP	g1786641	aa	207	Clockwise	455901	456524	lopP;wseA	Caseinolytic protease	Proteolytic subunit of ClpXP and ClpAP ATP-dependent proteases; protease Ti
EG10159	clpX	g1786642	aa	424	Clockwise	456650	457924	lopC	Caseinolytic protease	ATPase subunit of ClpXP protease; ClpXP degrades ssrA-tagged proteins; molecular chaperone
EG10160	cpdB	g1790658	aa	647	Counterclockwise	4432645	4434588	Null	Cyclic nucleotide P-diesterase	2',3'-cyclic nucleotide 2'-phosphodiesterase, periplasmic
EG10161	cpsB	g1788362	aa	478	Counterclockwise	2121108	2122544	manC;mni;rfbM	Capsular polysaccharide	Colanic acid (CPS) biosynthesis; mannose 1-P guanyltransferase synthesis
EG10162	cpsG	g1788361	aa	456	Counterclockwise	2119633	2121003	manB;rfbK	Capsular polysaccharide	Phosphomannomutase isozyme; colanic acid biosynthesis synthesis
EG10163	cpxA	g1790346	aa	457	Counterclockwise	4101625	4102998	ecfB;eup;rssE;ssd	Conjugative plasmid expression	Histidine protein kinase, periplasmic stress sensor; inner membrane protein; CpxR is the two-component cognate response regulator; Kan-R, phage Q resistant; L-serine growth
EG10164	crp	g1789756	aa	210	Clockwise	3484142	3484774	cap;csm	cAMP receptor protein	cAMP receptor protein
EG10165	crr	g1788757	aa	169	Clockwise	2533856	2534365	gsr;iex;tgs;treD	Carbohydrate repression resistance	EIIA(Glc), phosphocarrier for glucose PTS transport; negative control of rpoS
EG10166	cspA	g1789979	aa	70	Clockwise	3718072	3718284	Null	Cold shock protein	Cold-inducible RNA chaperone and anti-terminator; aids gene expression at low temperature; cold shock protein CS7.4; binds ssRNA and ssDNA
EG10167	cstA	g1786814	aa	701	Clockwise	629117	631222	ybdC	Carbon starvation	Starvation-induced protein involved in peptide utilization during carbon starvation
EG10168	lnt	g1786878	aa	512	Counterclockwise	688566	690104	cutE	Cu tolerance	Apolipoprotein N-acetyltransferase; copper sensitivity
EG10169	cvpA	g1788652	aa	162	Counterclockwise	2428297	2428785	dedE	Colicin V production	Affects Col V production; member of purF operon
EG10170	cyaA	g1790238	aa	848	Clockwise	3989176	3991722	cya	Cyclase, adenylate	Adenylate cyclase
EG10172	cybB	g87081903	aa	176	Clockwise	1488926	1489456	Null	Cytochrome b	Cytochrome b561
EG10173	cydA	g87081779	aa	522	Clockwise	770681	772249	Null	Cytochrome d	Cytochrome d (bd-I) terminal oxidase subunit I; upregulated in biofilms and microaerobic conditions; aerobically repressed by H-NS; anaerobically repressed by Fnr
EG10174	cydB	g1786954	aa	379	Clockwise	772265	773404	Null	Cytochrome d	Cytochrome d (bd-I) terminal oxidase subunit II; upregulated in biofilms and microaerobic conditions; aerobically repressed by H-NS; anaerobically repressed by Fnr
EG10175	cynS	g1786535	aa	156	Clockwise	358713	359183	cnt	Cyanase; cyanate metabolism	Cyanate aminohydrolase
EG10176	cynT	g1786534	aa	219	Clockwise	358023	358682	Null	Cyanase; cyanate metabolism	Carbonic anhydrase, beta class
EG10177	cynX	g1786536	aa	384	Clockwise	359216	360370	Null	Cyanase; cyanate metabolism	Putative transporter, function unknown, cyn operon
